id,question,answer,focus,source
1715,What is (are) Renal Artery Stenosis?,"Renal artery stenosis is the narrowing of one or both renal arteries. Renal means kidney and stenosis means narrowing. The renal arteries are blood vessels that carry blood to the kidneys from the aortathe main blood vessel that carries blood from the heart to arteries throughout the body.
                
RVH is high blood pressure caused by RAS. Blood pressure is written with two numbers separated by a slash, 120/80, and is said as 120 over 80. The top number is called the systolic pressure and represents the pressure as the heart beats and pushes blood through the blood vessels. The bottom number is called the diastolic pressure and represents the pressure as blood vessels relax between heartbeats. A persons blood pressure is considered normal if it stays at or below 120/80. High blood pressure is a systolic pressure of 140 or above or a diastolic pressure of 90 or above.1",Renal Artery Stenosis,NIDDK
1716,What causes Renal Artery Stenosis?,"About 90 percent of RAS is caused by atherosclerosisclogging, narrowing, and hardening of the renal arteries.2 In these cases, RAS develops when plaquea sticky substance made up of fat, cholesterol, calcium, and other material found in the bloodbuilds up on the inner wall of one or both renal arteries. Plaque buildup is what makes the artery wall hard and narrow.
                
Most other cases of RAS are caused by fibromuscular dysplasia (FMD)the abnormal development or growth of cells on the renal artery wallswhich can cause blood vessels to narrow. Rarely, RAS is caused by other conditions.",Renal Artery Stenosis,NIDDK
1717,What are the symptoms of Renal Artery Stenosis?,"In many cases, RAS has no symptoms until it becomes severe.
                
The signs of RAS are usually either high blood pressure or decreased kidney function, or both, but RAS is often overlooked as a cause of high blood pressure. RAS should be considered as a cause of high blood pressure in people who
                
- are older than age 50 when they develop high blood pressure or have a marked increase in blood pressure  - have no family history of high blood pressure  - cannot be successfully treated with at least three or more different types of blood pressure medications
                
Symptoms of a significant decrease in kidney function include
                
- increase or decrease in urination  - edemaswelling, usually in the legs, feet, or ankles and less often in the hands or face  - drowsiness or tiredness  - generalized itching or numbness  - dry skin  - headaches  - weight loss  - appetite loss  - nausea  - vomiting  - sleep problems  - trouble concentrating  - darkened skin  - muscle cramps",Renal Artery Stenosis,NIDDK
1718,What to do for Renal Artery Stenosis?,"Limiting intake of fats, cholesterol, sodium, and sugar can help prevent atherosclerosis, which can lead to RAS. Most sodium in the diet comes from salt. A healthy diet that prevents people from becoming overweight or obese can also help prevent atherosclerosis. People with RAS that has caused decreased kidney function should limit their intake of protein, cholesterol, sodium, and potassium to slow the progression of kidney failure. More information about nutrition for CKD is provided in the NIDDK health topics, Nutrition for Early Chronic Kidney Disease in Adults and Nutrition for Advanced Chronic Kidney Disease in Adults. People should talk with their health care provider about what diet is right for them.",Renal Artery Stenosis,NIDDK
1719,How to diagnose Amyloidosis and Kidney Disease?,"A health care provider diagnoses primary amyloidosis of the kidneys with
                
- a medical and family history  - a physical exam  - urinalysis  - blood tests  - a kidney biopsy
                
Medical and Family History
                
Taking a medical and family history may help a health care provider diagnose amyloidosis of the kidneys. He or she will ask the patient to provide a medical and family history.
                
Physical Exam
                
A physical exam may help diagnose primary amyloidosis of the kidneys. During a physical exam, a health care provider usually
                
- examines a patients body to check for swelling  - uses a stethoscope to listen to the lungs  - taps on specific areas of the patients body
                
Urinalysis
                
A health care provider may use urinalysisthe testing of a urine sampleto check for albumin and amyloid proteins in urine. The patient provides a urine sample in a special container at a health care providers office or a commercial facility. A nurse or technician can test the sample in the same location or send it to a lab for analysis. More-than-normal amounts of albumin in urine may indicate kidney damage due to primary amyloidosis. Amyloid proteins in urine may indicate amyloidosis.
                
Blood Tests
                
The health care provider may use blood tests to see how well the kidneys are working and to check for amyloid proteins and hyperlipidemia. A blood test involves drawing a patients blood at a health care providers office or a commercial facility and sending the sample to a lab for analysis. Blood tests for kidney function measure the waste products in the blood that healthy kidneys normally filter out. Hyperlipidemia may indicate nephrotic syndrome. Amyloid proteins in blood may indicate amyloidosis.
                
Kidney Biopsy
                
Only a biopsy can show the amyloid protein deposits in the kidneys. A health care provider may recommend a kidney biopsy if other tests show kidney damage. A kidney biopsy is a procedure that involves taking a piece of kidney tissue for examination with a microscope. A health care provider performs a kidney biopsy in a hospital with light sedation and local anesthetic. The health care provider uses imaging techniques such as ultrasound or a computerized tomography (CT) scan to guide the biopsy needle into the kidney and take the tissue sample. A pathologista doctor who specializes in diagnosing diseasesexamines the tissue in a lab for amyloid proteins and kidney damage.
                
The biopsy results can help the health care provider determine the best course of treatment. More information is provided in the NIDDK health topic, Kidney Biopsy.",Amyloidosis and Kidney Disease,NIDDK
1720,What are the symptoms of Primary Biliary Cirrhosis?,"The first and most common symptoms of primary biliary cirrhosis are
                
- fatigue, or feeling tired  - itching skin, and darkened skin in itching areas due to scratching  - dry eyes and mouth
                
Some people may have jaundice, a condition that causes the skin and whites of the eyes to turn yellow. Health care providers diagnose up to 60 percent of people with primary biliary cirrhosis before symptoms begin.2 Routine blood tests showing abnormal liver enzyme levels may lead a health care provider to suspect that a person without symptoms has primary biliary cirrhosis.",Primary Biliary Cirrhosis,NIDDK
1721,What are the symptoms of Proteinuria?,"Proteinuria has no signs or symptoms in the early stages. Large amounts of protein in the urine may cause it to look foamy in the toilet. Also, because protein has left the body, the blood can no longer soak up enough fluid, so swelling in the hands, feet, abdomen, or face may occur. This swelling is called edema. These are signs of large protein loss and indicate that kidney disease has progressed. Laboratory testing is the only way to find out whether protein is in a persons urine before extensive kidney damage occurs.
                
Several health organizations recommend regular urine checks for people at risk for CKD. A 1996 study sponsored by the National Institutes of Health determined that proteinuria is the best predictor of progressive kidney failure in people with type 2 diabetes. The American Diabetes Association recommends regular urine testing for proteinuria for people with type 1 or type 2 diabetes. The National Kidney Foundation recommends that routine checkups include testing for excess protein in the urine, especially for people in high-risk groups.",Proteinuria,NIDDK
1722,How to diagnose Proteinuria?,"Until recently, an accurate protein measurement required a 24-hour urine collection. In a 24-hour collection, the patient urinates into a container, which is kept refrigerated between trips to the bathroom. The patient is instructed to begin collecting urine after the first trip to the bathroom in the morning. Every drop of urine for the rest of the day is to be collected in the container. The next morning, the patient adds the first urination after waking and the collection is complete.
                
In recent years, researchers have found that a single urine sample can provide the needed information. In the newer technique, the amount of albumin in the urine sample is compared with the amount of creatinine, a waste product of normal muscle breakdown. The measurement is called a urine albumin-to-creatinine ratio (UACR). A urine sample containing more than 30 milligrams of albumin for each gram of creatinine (30 mg/g) is a warning that there may be a problem. If the laboratory test exceeds 30 mg/g, another UACR test should be done 1 to 2 weeks later. If the second test also shows high levels of protein, the person has persistent proteinuria, a sign of declining kidney function, and should have additional tests to evaluate kidney function.",Proteinuria,NIDDK
1723,What causes Prostate Enlargement: Benign Prostatic Hyperplasia?,"The cause of benign prostatic hyperplasia is not well understood; however, it occurs mainly in older men. Benign prostatic hyperplasia does not develop in men whose testicles were removed before puberty. For this reason, some researchers believe factors related to aging and the testicles may cause benign prostatic hyperplasia.
                
Throughout their lives, men produce testosterone, a male hormone, and small amounts of estrogen, a female hormone. As men age, the amount of active testosterone in their blood decreases, which leaves a higher proportion of estrogen. Scientific studies have suggested that benign prostatic hyperplasia may occur because the higher proportion of estrogen within the prostate increases the activity of substances that promote prostate cell growth.
                
Another theory focuses on dihydrotestosterone (DHT), a male hormone that plays a role in prostate development and growth. Some research has indicated that even with a drop in blood testosterone levels, older men continue to produce and accumulate high levels of DHT in the prostate. This accumulation of DHT may encourage prostate cells to continue to grow. Scientists have noted that men who do not produce DHT do not develop benign prostatic hyperplasia.",Prostate Enlargement: Benign Prostatic Hyperplasia,NIDDK
1724,What are the complications of Prostate Enlargement: Benign Prostatic Hyperplasia?,"The complications of benign prostatic hyperplasia may include
                
- acute urinary retention  - chronic, or long lasting, urinary retention  - blood in the urine  - urinary tract infections (UTIs)  - bladder damage  - kidney damage  - bladder stones
                
Most men with benign prostatic hyperplasia do not develop these complications. However, kidney damage in particular can be a serious health threat when it occurs.
                

                
When to Seek Medical Care   A person may have urinary symptoms unrelated to benign prostatic hyperplasia that are caused by bladder problems, UTIs, or prostatitisinflammation of the prostate. Symptoms of benign prostatic hyperplasia also can signal more serious conditions, including prostate cancer.   Men with symptoms of benign prostatic hyperplasia should see a health care provider.   Men with the following symptoms should seek immediate medical care:   - complete inability to urinate   - painful, frequent, and urgent need to urinate, with fever and chills   - blood in the urine   - great discomfort or pain in the lower abdomen and urinary tract",Prostate Enlargement: Benign Prostatic Hyperplasia,NIDDK
1725,What are the treatments for Prostate Enlargement: Benign Prostatic Hyperplasia?,"Treatment options for benign prostatic hyperplasia may include
                
- lifestyle changes  - medications  - minimally invasive procedures  - surgery
                
A health care provider treats benign prostatic hyperplasia based on the severity of symptoms, how much the symptoms affect a mans daily life, and a mans preferences.
                
Men may not need treatment for a mildly enlarged prostate unless their symptoms are bothersome and affecting their quality of life. In these cases, instead of treatment, a urologist may recommend regular checkups. If benign prostatic hyperplasia symptoms become bothersome or present a health risk, a urologist most often recommends treatment.
                
Lifestyle Changes
                
A health care provider may recommend lifestyle changes for men whose symptoms are mild or slightly bothersome. Lifestyle changes can include
                
- reducing intake of liquids, particularly before going out in public or before periods of sleep  - avoiding or reducing intake of caffeinated beverages and alcohol  - avoiding or monitoring the use of medications such as decongestants, antihistamines, antidepressants, and diuretics  - training the bladder to hold more urine for longer periods  - exercising pelvic floor muscles  - preventing or treating constipation
                
Medications
                
A health care provider or urologist may prescribe medications that stop the growth of or shrink the prostate or reduce symptoms associated with benign prostatic hyperplasia:
                
- alpha blockers  - phosphodiesterase-5 inhibitors  - 5-alpha reductase inhibitors  - combination medications
                
Alpha blockers. These medications relax the smooth muscles of the prostate and bladder neck to improve urine flow and reduce bladder blockage:
                
- terazosin (Hytrin)  - doxazosin (Cardura)  - tamsulosin (Flomax)  - alfuzosin (Uroxatral)  - silodosin (Rapaflo)
                
Phosphodiesterase-5 inhibitors. Urologists prescribe these medications mainly for erectile dysfunction. Tadalafil (Cialis) belongs to this class of medications and can reduce lower urinary tract symptoms by relaxing smooth muscles in the lower urinary tract. Researchers are working to determine the role of erectile dysfunction drugs in the long-term treatment of benign prostatic hyperplasia.
                
5-alpha reductase inhibitors. These medications block the production of DHT, which accumulates in the prostate and may cause prostate growth:
                
- finasteride (Proscar)  - dutasteride (Avodart)
                
These medications can prevent progression of prostate growth or actually shrink the prostate in some men. Finasteride and dutasteride act more slowly than alpha blockers and are useful for only moderately enlarged prostates.
                
Combination medications. Several studies, such as the Medical Therapy of Prostatic Symptoms (MTOPS) study, have shown that combining two classes of medications, instead of using just one, can more effectively improve symptoms, urinary flow, and quality of life. The combinations include
                
- finasteride and doxazosin  - dutasteride and tamsulosin (Jalyn), a combination of both medications that is available in a single tablet  - alpha blockers and antimuscarinics
                
A urologist may prescribe a combination of alpha blockers and antimuscarinics for patients with overactive bladder symptoms. Overactive bladder is a condition in which the bladder muscles contract uncontrollably and cause urinary frequency, urinary urgency, and urinary incontinence. Antimuscarinics are a class of medications that relax the bladder muscles.
                
Minimally Invasive Procedures
                
Researchers have developed a number of minimally invasive procedures that relieve benign prostatic hyperplasia symptoms when medications prove ineffective. These procedures include
                
- transurethral needle ablation  - transurethral microwave thermotherapy  - high-intensity focused ultrasound  - transurethral electrovaporization  - water-induced thermotherapy  - prostatic stent insertion
                
Minimally invasive procedures can destroy enlarged prostate tissue or widen the urethra, which can help relieve blockage and urinary retention caused by benign prostatic hyperplasia.
                
Urologists perform minimally invasive procedures using the transurethral method, which involves inserting a cathetera thin, flexible tubeor cystoscope through the urethra to reach the prostate. These procedures may require local, regional, or general anesthesia. Although destroying troublesome prostate tissue relieves many benign prostatic hyperplasia symptoms, tissue destruction does not cure benign prostatic hyperplasia. A urologist will decide which procedure to perform based on the mans symptoms and overall health.
                
Transurethral needle ablation. This procedure uses heat generated by radiofrequency energy to destroy prostate tissue. A urologist inserts a cystoscope through the urethra to the prostate. A urologist then inserts small needles through the end of the cystoscope into the prostate. The needles send radiofrequency energy that heats and destroys selected portions of prostate tissue. Shields protect the urethra from heat damage.
                
Transurethral microwave thermotherapy. This procedure uses microwaves to destroy prostate tissue. A urologist inserts a catheter through the urethra to the prostate, and a device called an antenna sends microwaves through the catheter to heat selected portions of the prostate. The temperature becomes high enough inside the prostate to destroy enlarged tissue. A cooling system protects the urinary tract from heat damage during the procedure.
                
High-intensity focused ultrasound. For this procedure, a urologist inserts a special ultrasound probe into the rectum, near the prostate. Ultrasound waves from the probe heat and destroy enlarged prostate tissue.
                
Transurethral electrovaporization. For this procedure, a urologist inserts a tubelike instrument called a resectoscope through the urethra to reach the prostate. An electrode attached to the resectoscope moves across the surface of the prostate and transmits an electric current that vaporizes prostate tissue. The vaporizing effect penetrates below the surface area being treated and seals blood vessels, which reduces the risk of bleeding.
                
Water-induced thermotherapy. This procedure uses heated water to destroy prostate tissue. A urologist inserts a catheter into the urethra so that a treatment balloon rests in the middle of the prostate. Heated water flows through the catheter into the treatment balloon, which heats and destroys the surrounding prostate tissue. The treatment balloon can target a specific region of the prostate, while surrounding tissues in the urethra and bladder remain protected.
                
Prostatic stent insertion. This procedure involves a urologist inserting a small device called a prostatic stent through the urethra to the area narrowed by the enlarged prostate. Once in place, the stent expands like a spring, and it pushes back the prostate tissue, widening the urethra. Prostatic stents may be temporary or permanent. Urologists generally use prostatic stents in men who may not tolerate or be suitable for other procedures.
                
Surgery
                
For long-term treatment of benign prostatic hyperplasia, a urologist may recommend removing enlarged prostate tissue or making cuts in the prostate to widen the urethra. Urologists recommend surgery when
                
- medications and minimally invasive procedures are ineffective  - symptoms are particularly bothersome or severe  - complications arise
                
Although removing troublesome prostate tissue relieves many benign prostatic hyperplasia symptoms, tissue removal does not cure benign prostatic hyperplasia.
                
Surgery to remove enlarged prostate tissue includes
                
- transurethral resection of the prostate (TURP)  - laser surgery  - open prostatectomy  - transurethral incision of the prostate (TUIP)
                
A urologist performs these surgeries, except for open prostatectomy, using the transurethral method. Men who have these surgical procedures require local, regional, or general anesthesia and may need to stay in the hospital.
                
The urologist may prescribe antibiotics before or soon after surgery to prevent infection. Some urologists prescribe antibiotics only when an infection occurs.
                
Immediately after benign prostatic hyperplasia surgery, a urologist may insert a special catheter, called a Foley catheter, through the opening of the penis to drain urine from the bladder into a drainage pouch.
                
TURP. With TURP, a urologist inserts a resectoscope through the urethra to reach the prostate and cuts pieces of enlarged prostate tissue with a wire loop. Special fluid carries the tissue pieces into the bladder, and the urologist flushes them out at the end of the procedure. TURP is the most common surgery for benign prostatic hyperplasia and considered the gold standard for treating blockage of the urethra due to benign prostatic hyperplasia.
                
Laser surgery. With this surgery, a urologist uses a high-energy laser to destroy prostate tissue. The urologist uses a cystoscope to pass a laser fiber through the urethra into the prostate. The laser destroys the enlarged tissue. The risk of bleeding is lower than in TURP and TUIP because the laser seals blood vessels as it cuts through the prostate tissue. However, laser surgery may not effectively treat greatly enlarged prostates.
                
Open prostatectomy. In an open prostatectomy, a urologist makes an incision, or cut, through the skin to reach the prostate. The urologist can remove all or part of the prostate through the incision. This surgery is used most often when the prostate is greatly enlarged, complications occur, or the bladder is damaged and needs repair. Open prostatectomy requires general anesthesia, a longer hospital stay than other surgical procedures for benign prostatic hyperplasia, and a longer rehabilitation period. The three open prostatectomy procedures are retropubic prostatectomy, suprapubic prostatectomy, and perineal prostatectomy. The recovery period for open prostatectomy is different for each man who undergoes the procedure. However, it typically takes anywhere from 3 to 6 weeks.4
                
TUIP. A TUIP is a surgical procedure to widen the urethra. During a TUIP, the urologist inserts a cystoscope and an instrument that uses an electric current or a laser beam through the urethra to reach the prostate. The urologist widens the urethra by making a few small cuts in the prostate and in the bladder neck. Some urologists believe that TUIP gives the same relief as TURP except with less risk of side effects.
                
After surgery, the prostate, urethra, and surrounding tissues may be irritated and swollen, causing urinary retention. To prevent urinary retention, a urologist inserts a Foley catheter so urine can drain freely out of the bladder. A Foley catheter has a balloon on the end that the urologist inserts into the bladder. Once the balloon is inside the bladder, the urologist fills it with sterile water to keep the catheter in place. Men who undergo minimally invasive procedures may not need a Foley catheter.
                
The Foley catheter most often remains in place for several days. Sometimes, the Foley catheter causes recurring, painful, difficult-to-control bladder spasms the day after surgery. However, these spasms will eventually stop. A urologist may prescribe medications to relax bladder muscles and prevent bladder spasms. These medications include
                
- oxybutynin chloride (Ditropan)  - solifenacin (VESIcare)  - darifenacin (Enablex)  - tolterodine (Detrol)  - hyoscyamine (Levsin)  - propantheline bromide (Pro-Banthine)",Prostate Enlargement: Benign Prostatic Hyperplasia,NIDDK
1726,How to prevent Prostate Enlargement: Benign Prostatic Hyperplasia?,Researchers have not found a way to prevent benign prostatic hyperplasia. Men with risk factors for benign prostatic hyperplasia should talk with a health care provider about any lower urinary tract symptoms and the need for regular prostate exams. Men can get early treatment and minimize benign prostatic hyperplasia effects by recognizing lower urinary tract symptoms and identifying an enlarged prostate.,Prostate Enlargement: Benign Prostatic Hyperplasia,NIDDK
1727,What are the symptoms of Dumping Syndrome?,"The symptoms of early and late dumping syndrome are different and vary from person to person. Early dumping syndrome symptoms may include
                
- nausea  - vomiting  - abdominal pain and cramping  - diarrhea  - feeling uncomfortably full or bloated after a meal  - sweating  - weakness  - dizziness  - flushing, or blushing of the face or skin  - rapid or irregular heartbeat
                
- hypoglycemia  - sweating  - weakness  - rapid or irregular heartbeat  - flushing  - dizziness
                
About 75 percent of people with dumping syndrome report symptoms of early dumping syndrome and about 25 percent report symptoms of late dumping syndrome. Some people have symptoms of both types of dumping syndrome.1",Dumping Syndrome,NIDDK
1728,What is (are) Renal Tubular Acidosis?,"Renal tubular acidosis (RTA) is a disease that occurs when the kidneys fail to excrete acids into the urine, which causes a person's blood to remain too acidic. Without proper treatment, chronic acidity of the blood leads to growth retardation, kidney stones, bone disease, chronic kidney disease, and possibly total kidney failure.
                
The body's cells use chemical reactions to carry out tasks such as turning food into energy and repairing tissue. These chemical reactions generate acids. Some acid in the blood is normal, but too much acidacidosiscan disturb many bodily functions. Healthy kidneys help maintain acid-base balance by excreting acids into the urine and returning bicarbonatean alkaline, or base, substanceto the blood. This ""reclaimed"" bicarbonate neutralizes much of the acid that is created when food is broken down in the body. The movement of substances like bicarbonate between the blood and structures in the kidneys is called transport.
                
One researcher has theorized that Charles Dickens may have been describing a child with RTA in the character of Tiny Tim from A Christmas Carol. Tiny Tim's small stature, malformed limbs, and periods of weakness are all possible consequences of the chemical imbalance caused by RTA.1 In the story, Tiny Tim recovers when he receives medical treatment, which would likely have included sodium bicarbonate and sodium citrate, alkaline agents to neutralize acidic blood. The good news is that medical treatment can indeed reverse the effects of RTA.",Renal Tubular Acidosis,NIDDK
1729,What is (are) Kidney Dysplasia?,"Kidney dysplasia is a condition in which the internal structures of one or both of a fetus kidneys do not develop normally while in the womb. During normal development, two thin tubes of muscle called ureters grow into the kidneys and branch out to form a network of tiny structures called tubules. The tubules collect urine as the fetus grows in the womb. In kidney dysplasia, the tubules fail to branch out completely. Urine that would normally flow through the tubules has nowhere to go. Urine collects inside the affected kidney and forms fluid-filled sacs called cysts. The cysts replace normal kidney tissue and prevent the kidney from functioning.
                
Kidney dysplasia can affect one kidney or both kidneys. Babies with severe kidney dysplasia affecting both kidneys generally do not survive birth. Those who do survive may need the following early in life:
                
- blood-filtering treatments called dialysis  - a kidney transplant
                
Children with dysplasia in only one kidney have normal kidney function if the other kidney is unaffected. Those with mild dysplasia of both kidneys may not need dialysis or a kidney transplant for several years.
                
Kidney dysplasia is also called renal dysplasia or multicystic dysplastic kidney.",Kidney Dysplasia,NIDDK
1730,How to diagnose Kidney Dysplasia?,"Health care providers may be able to diagnose kidney dysplasia during a womans pregnancy using a fetal ultrasound, also called a fetal sonogram. Ultrasound uses a device, called a transducer, that bounces safe, painless sound waves off organs to create an image of their structure. Fetal ultrasound is a test done during pregnancy to create images of the fetus in the womb. A specially trained technician performs the procedure in a health care providers office, an outpatient center, or a hospital, and an obstetrician or a radiologist interprets the images. An obstetrician is a doctor who specializes in pregnancy and childbirth. A radiologist is a doctor who specializes in medical imaging. The patientin this case, the fetus motherdoes not need anesthesia for this procedure. The images can show defects in the fetus kidneys and other parts of the urinary tract.
                
Health care providers do not always diagnose kidney dysplasia before a baby is born. After birth, health care providers often diagnose kidney dysplasia during an evaluation of the child for a UTI or another medical condition. A health care provider uses ultrasound to diagnose kidney dysplasia after the baby is born.",Kidney Dysplasia,NIDDK
1731,What is (are) Viral Gastroenteritis?,"Viral gastroenteritis is inflammation of the lining of the stomach, small intestine, and large intestine. Several different viruses can cause viral gastroenteritis, which is highly contagious and extremely common. Viral gastroenteritis causes millions of cases of diarrhea each year.
                
Anyone can get viral gastroenteritis and most people recover without any complications, unless they become dehydrated.",Viral Gastroenteritis,NIDDK
1732,What are the symptoms of Viral Gastroenteritis?,"The main symptoms of viral gastroenteritis are
                
- watery diarrhea  - vomiting
                
Other symptoms include
                
- headache  - fever  - chills  - abdominal pain
                
Symptoms usually appear within 12 to 48 hours after exposure to a gastroenteritis-causing virus and last for 1 to 3 days. Some viruses cause symptoms that last longer.",Viral Gastroenteritis,NIDDK
1733,What are the complications of Viral Gastroenteritis?,"Dehydration is the most common complication of viral gastroenteritis. When someone does not drink enough fluids to replace those that are lost through vomiting and diarrhea, dehydration can result. When dehydrated, the body does not have enough fluids to keep the proper balance of important salts or minerals, known as electrolytes. Infants, young children, older adults, and people with weak immune systems have the greatest risk of becoming dehydrated.
                
The signs of dehydration in adults are
                
- excessive thirst  - infrequent urination  - dark-colored urine  - dry skin  - lethargy, dizziness, or faintness
                
Signs of dehydration in babies and young children are
                
- dry mouth and tongue  - lack of tears when crying  - no wet diapers for 3 hours or more  - high fever  - unusually cranky or drowsy behavior  - sunken eyes, cheeks, or soft spot in the skull
                
Also, when people are dehydrated, their skin does not flatten back to normal right away after being gently pinched and released.
                
People should talk with a health care provider if they have
                
- blood in their stool, which may indicate a bacterial infection  - symptoms that are severe or last more than a few days  - symptoms of dehydration
                
Severe dehydration may require intravenous fluids and hospitalization. Untreated severe dehydration can cause serious health problems such as organ damage, shock, or comaa sleeplike state in which a person is not conscious.",Viral Gastroenteritis,NIDDK
1734,How to diagnose Viral Gastroenteritis?,"Viral gastroenteritis is usually diagnosed based on symptoms alone. People who have symptoms that are severe or last for more than a few days may want to see a health care provider for additional tests. A health care provider may ask for a stool sample to test for rotavirus or norovirus or to rule out bacteria or parasites as the cause of the gastroenteritis.
                
During an epidemic of viral gastroenteritis, health care providers or public health officials may test stool samples to find out which virus is responsible for the outbreak.",Viral Gastroenteritis,NIDDK
1735,What is (are) Diagnosis of Diabetes and Prediabetes?,"Diabetes is a complex group of diseases with a variety of causes. People with diabetes have high blood glucose, also called high blood sugar or hyperglycemia.
                
Diabetes is a disorder of metabolismthe way the body uses digested food for energy. The digestive tract breaks down carbohydratessugars and starches found in many foodsinto glucose, a form of sugar that enters the bloodstream. With the help of the hormone insulin, cells throughout the body absorb glucose and use it for energy. Insulin is made in the pancreas, an organ located behind the stomach. As the blood glucose level rises after a meal, the pancreas is triggered to release insulin. Within the pancreas, clusters of cells called islets contain beta cells, which make the insulin and release it into the blood.
                
Diabetes develops when the body doesnt make enough insulin or is not able to use insulin effectively, or both. As a result, glucose builds up in the blood instead of being absorbed by cells in the body. The bodys cells are then starved of energy despite high blood glucose levels.
                
Over time, high blood glucose damages nerves and blood vessels, leading to complications such as heart disease, stroke, kidney disease, blindness, dental disease, and amputations. Other complications of diabetes may include increased susceptibility to other diseases, loss of mobility with aging, depression, and pregnancy problems.
                
Main Types of Diabetes
                
The three main types of diabetes are type 1, type 2, and gestational diabetes:
                
- Type 1 diabetes, formerly called juvenile diabetes, is usually first diagnosed in children, teenagers, and young adults. In this type of diabetes, the beta cells of the pancreas no longer make insulin because the bodys immune system has attacked and destroyed them.  - Type 2 diabetes, formerly called adult-onset diabetes, is the most common type of diabetes. About 90 to 95 percent of people with diabetes have type 2.1 People can develop type 2 diabetes at any age, even during childhood, but this type of diabetes is most often associated with older age. Type 2 diabetes is also associated with excess weight, physical inactivity, family history of diabetes, previous history of gestational diabetes, and certain ethnicities.   Type 2 diabetes usually begins with insulin resistance, a condition linked to excess weight in which muscle, liver, and fat cells do not use insulin properly. As a result, the body needs more insulin to help glucose enter cells to be used for energy. At first, the pancreas keeps up with the added demand by producing more insulin. But in time, the pancreas loses its ability to produce enough insulin in response to meals, and blood glucose levels rise.  - Gestational diabetes is a type of diabetes that develops only during pregnancy.  The hormones produced during pregnancy increase the amount of insulin needed to control blood glucose levels. If the body cant meet this increased need for insulin, women can develop gestational diabetes during the late stages of pregnancy.  Gestational diabetes usually goes away after the baby is born. Shortly after pregnancy, 5 to 10 percent of women with gestational diabetes continue to have high blood glucose levels and are diagnosed as having diabetes, usually type 2.1 Research has shown that lifestyle changes and the diabetes medication, metformin, can reduce or delay the risk of type 2 diabetes in these women. Babies born to mothers who had gestational diabetes are also more likely to develop obesity and type 2 diabetes as they grow up.  More information about gestational diabetes is provided in the NIDDK health topic, What I need to know about Gestational Diabetes,or by calling 18008608747.
                
Other Types of Diabetes
                
Many other types of diabetes exist, and a person can exhibit characteristics of more than one type. For example, in latent autoimmune diabetes in adults, people show signs of both type 1 and type 2 diabetes. Other types of diabetes include those caused by genetic defects, diseases of the pancreas, excess amounts of certain hormones resulting from some medical conditions, medications that reduce insulin action, chemicals that destroy beta cells, infections, rare autoimmune disorders, and genetic syndromes associated with diabetes.
                
More information about other types of diabetes is provided in the NIDDK health topic, Causes of Diabetes, or by calling 18008608747.",Diagnosis of Diabetes and Prediabetes,NIDDK
1736,How to prevent Diagnosis of Diabetes and Prediabetes?,"A major research study, the Diabetes Prevention Program (DPP), proved that people with prediabetes were able to sharply reduce their risk of developing diabetes during the study by losing 5 to 7 percent of their body weight through dietary changes and increased physical activity.
                
Study participants followed a low-fat, low-calorie diet and engaged in regular physical activity, such as walking briskly five times a week for 30 minutes. These strategies worked well for both men and women in all racial and ethnic groups, but were especially effective for participants age 60 and older. A follow-up study, the Diabetes Prevention Program Outcomes Study (DPPOS), showed losing weight and being physically active provide lasting results. Ten years after the DPP, modest weight loss delayed onset of type 2 diabetes by an average of 4 years.
                
The diabetes medication metformin also lowers the risk of type 2 diabetes in people with prediabetes, especially those who are younger and heavier and women who have had gestational diabetes. The DPPOS showed that metformin delayed type 2 diabetes by 2 years. People at high risk should ask their health care provider if they should take metformin to prevent type 2 diabetes. Metformin is a medication that makes insulin work better and can reduce the risk of type 2 diabetes.
                
More information about insulin resistance, the DPP, or how to lower risk for type 2 diabetes is provided in the NIDDK health topics:
                
- Am I at Risk for Type 2 Diabetes?  - Diabetes Prevention Program (DPP)  - Insulin Resistance and Prediabetes
                
Additional information about the DPP, funded under NIH clinical trial number NCT00004992, and the DPPOS, funded under NIH clinical trial number NCT00038727, can be found at www.bsc.gwu.edu/dpp.
                
As part of its Small Steps, Big Rewards campaign, the National Diabetes Education Program (NDEP) offers several booklets about preventing type 2 diabetes, including information about setting goals, tracking progress, implementing a walking program, and finding additional resources. These materials are available at www.ndep.nih.gov or by calling the NDEP at 1888693NDEP (18886936337).",Diagnosis of Diabetes and Prediabetes,NIDDK
1737,What to do for Diagnosis of Diabetes and Prediabetes?,"- Tests used for diagnosing diabetes and prediabetes include the A1C testfor type 2 diabetes and prediabetesthe fasting plasma glucose (FPG) test, and the oral glucose tolerance test (OGTT). Another blood test, the random plasma glucose (RPG) test, is sometimes used to diagnose diabetes when symptoms are present during a regular health checkup.  - Anyone age 45 or older should consider getting tested for diabetes or prediabetes. People younger than 45 should consider testing if they are overweight or obese and have one or more additional risk factors for diabetes.  - If results of testing are normal, testing should be repeated at least every 3 years. Health care providers may recommend more frequent testing depending on initial results and risk status.  - People whose test results indicate they have prediabetes may be tested again in 1 year and should take steps to prevent or delay type 2 diabetes.  - Many people with prediabetes develop type 2 diabetes within 10 years.  - Modest weight loss and moderate physical activity can help people with prediabetes delay or prevent type 2 diabetes.",Diagnosis of Diabetes and Prediabetes,NIDDK
